barcode	current_name	proposed_name	source	brand	chains	candidates
9414580931042	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 15.5 ס""מ"	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 15.5 ס""מ"	trusted		1	"חצי חינם: קערת נירוסטה עם גומיה למניעת החלקה קוטר 15.5 ס""מ"
9414580931059	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 17 ס""מ"	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 17 ס""מ"	trusted		1	"חצי חינם: קערת נירוסטה עם גומיה למניעת החלקה קוטר 17 ס""מ"
9414580931066	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 18 ס""מ"	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 18 ס""מ"	trusted		1	"חצי חינם: קערת נירוסטה עם גומיה למניעת החלקה קוטר 18 ס""מ"
9414580931073	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 22 ס""מ"	"קערת נירוסטה עם גומיה למניעת החלקה קוטר 22 ס""מ"	trusted		1	"חצי חינם: קערת נירוסטה עם גומיה למניעת החלקה קוטר 22 ס""מ"
9414580931103	"קערת נירוסטה קוטר 16.5 ס""מ"	"קערת נירוסטה קוטר 16.5 ס""מ"	trusted		1	"חצי חינם: קערת נירוסטה קוטר 16.5 ס""מ"
9414580931110	"קערת נירוסטה קוטר 21 ס""מ"	"קערת נירוסטה קוטר 21 ס""מ"	trusted		1	"חצי חינם: קערת נירוסטה קוטר 21 ס""מ"
9414580931134	"קערת נירוסטה קוטר 29 ס""מ"	"קערת נירוסטה קוטר 29 ס""מ"	trusted		1	"חצי חינם: קערת נירוסטה קוטר 29 ס""מ"
9414580931158	"מתקן ושתי קערות נירוסטה קוטר 16.5 ס""מ"	"מתקן ושתי קערות נירוסטה קוטר 16.5 ס""מ"	trusted		1	"חצי חינם: מתקן ושתי קערות נירוסטה קוטר 16.5 ס""מ"
9414580931165	"מתקן ושתי קערות נירוסטה קוטר 21 ס""מ"	"מתקן ושתי קערות נירוסטה קוטר 21 ס""מ"	trusted		1	"חצי חינם: מתקן ושתי קערות נירוסטה קוטר 21 ס""מ"
9414580931172	"מתקן ושתי קערות נירוסטה קוטר 25.0 ס""מ"	"מתקן ושתי קערות נירוסטה קוטר 25.0 ס""מ"	trusted		1	"חצי חינם: מתקן ושתי קערות נירוסטה קוטר 25.0 ס""מ"
9416500030040	"יין גרוב מיל שרדונה 750 מ""ל"	"יין גרוב מיל שרדונה 750 מ""ל"	trusted	לא ידוע	1	"טיב טעם: יין גרוב מיל שרדונה 750 מ""ל"
9416500050086	"יין גרוב מיל פינו גרי 750 מ""ל"	"יין גרוב מיל פינו גרי 750 מ""ל"	trusted	לא ידוע	1	"טיב טעם: יין גרוב מיל פינו גרי 750 מ""ל"
9418408030016	קלאודי ביי סוביניון בלאן 2014 700 מל	קלאודי ביי סוביניון בלאן 2014 700 מל	trusted	לא ידוע	1	טיב טעם: קלאודי ביי סוביניון בלאן 2014 700 מל
9419113	לאק OPI funny bunny - NLH22	לאק OPI funny bunny - NLH22	trusted	לא ידוע	1	"אבות אברהם בע""מ: לאק OPI funny bunny - NLH22"
9419571908249	שקית הולגרמה קטן	שקית הולגרמה קטן	trusted		1	ויקטורי: שקית הולגרמה קטן
9419571908546	סלסלת קש מלבנית בינוני	סלסלת קש מלבנית בינוני	trusted		1	ויקטורי: סלסלת קש מלבנית בינוני
9420041637118	פאזל לצביעה עם טושים קנדי	פאזל לצביעה עם טושים קנדי	trusted		1	CITY_MARKET_SHOPS: פאזל לצביעה עם טושים קנדי
9420041637132	לקים  צבועניים לציפורניים קנדי	לקים  צבועניים לציפורניים קנדי	trusted		1	CITY_MARKET_SHOPS: לקים  צבועניים לציפורניים קנדי
9420041637170	צללית	צללית	trusted		1	CITY_MARKET_SHOPS: צללית
9420041637279	ליפ גלוס ענבסים	ליפ גלוס ענבסים	trusted		1	CITY_MARKET_SHOPS: ליפ גלוס ענבסים
9420041637309	לק ילדות	לק ילדות	trusted		1	CITY_MARKET_SHOPS: לק ילדות
9420041637323	שפתון תות	שפתון תות	trusted		1	CITY_MARKET_SHOPS: שפתון תות
9420041637385	ערכת צביעה	ערכת צביעה	trusted		1	CITY_MARKET_SHOPS: ערכת צביעה
9420041637408	ערכת ציפורניים	ערכת ציפורניים	trusted		1	CITY_MARKET_SHOPS: ערכת ציפורניים
9420041637415	מדבקות	מדבקות	trusted		1	CITY_MARKET_SHOPS: מדבקות
9420041637422	מדבקות רב פעמיות	מדבקות רב פעמיות	trusted		1	CITY_MARKET_SHOPS: מדבקות רב פעמיות
9420041637446	שפתון	שפתון	trusted		1	CITY_MARKET_SHOPS: שפתון
9420041673925	פצצת אמבטיה	פצצת אמבטיה	trusted		1	CITY_MARKET_SHOPS: פצצת אמבטיה
9420041673963	חוברת יצירה קנדי	חוברת יצירה קנדי	trusted		1	CITY_MARKET_SHOPS: חוברת יצירה קנדי
9420073800146	נאו מאי יין	נאו מאי יין	trusted		1	CITY_MARKET_SHOPS: נאו מאי יין
9420073800153	"האנס גרייל סוביניון בלאן 750 מ""ל"	"האנס גרייל סוביניון בלאן 750 מ""ל"	trusted	לא ידוע	1	"טיב טעם: האנס גרייל סוביניון בלאן 750 מ""ל"
9420073800320	"יין טומטיט סוביניון בלאן 750 מ""ל"	"יין טומטיט סוביניון בלאן 750 מ""ל"	trusted	לא ידוע	1	"טיב טעם: יין טומטיט סוביניון בלאן 750 מ""ל"
9421014151099	טי אן טי סופא סאוור צ'וס 150גר	טי אן טי סופא סאוור צ'וס 150גר	trusted		1	CITY_MARKET_SHOPS: טי אן טי סופא סאוור צ'וס 150גר
