slug	name_he	kind	chain_id	chain_name	barcode	chain_product_name	price	note
cabbage-red	כרוב אדום	veg	7290700100008	חצי חינם	7290000013732	כרוב אדום	2.9	
cabbage-red	כרוב אדום	veg	7290103152017	אושר עד	7290009000511	כרוב אדום	3.9	
cabbage-red	כרוב אדום	veg	7290058140886	רמי לוי שיווק השקמה	7290000000110	כרוב אדום	3.9	
cabbage-red	כרוב אדום	veg	7290526500006	Dabach	7290000000008	כרוב אדום	4.9	
cabbage-red	כרוב אדום	veg	7290876100000	פרש מרקט	7290000999910	כרוב אדום	4.9	
cabbage-red	כרוב אדום	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777020	כרוב אדום	4.9	
cabbage-red	כרוב אדום	veg	7291059100008	פוליצר	7290000000008	כרוב אדום ישראלי	5.9	
cabbage-red	כרוב אדום	veg	7290027600007	שופרסל	7290000000145	כרוב אדום	6.9	
cabbage-red	כרוב אדום	veg	7290873255550	טיב טעם	4412845	כרוב אדום	6.9	
cabbage-red	כרוב אדום	veg	7290492000005	Dor Alon	7290000041308	כרוב אדום	6.9	
cabbage-red	כרוב אדום	veg	7290058177776	סופר יודה	7290000999910	כרוב אדום	8.9	
cabbage-white	כרוב לבן	veg	7290803800003	מ. יוחננוף ובניו	7290000000681	כרוב לבן	1.9	
cabbage-white	כרוב לבן	veg	7290103152017	אושר עד	7290009000504	כרוב לבן	2.9	
cabbage-white	כרוב לבן	veg	7290700100008	חצי חינם	7290000012841	כרוב לבן	2.9	
cabbage-white	כרוב לבן	veg	7290526500006	Dabach	7290000000007	כרוב לבן	3.9	
cabbage-white	כרוב לבן	veg	7290058140886	רמי לוי שיווק השקמה	7290000000109	כרוב לבן	3.9	
cabbage-white	כרוב לבן	veg	7290876100000	פרש מרקט	7290000999909	כרוב לבן	3.9	
cabbage-white	כרוב לבן	veg	7290661400001	מחסני השוק	7290015719100	כרוב לבן מהדרין	3.9	
cabbage-white	כרוב לבן	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777019	כרוב לבן	4.9	
cabbage-white	כרוב לבן	veg	7290873255550	טיב טעם	4412852	כרוב לבן	4.9	
cabbage-white	כרוב לבן	veg	7290027600007	שופרסל	7290000000138	כרוב לבן	4.9	
cabbage-white	כרוב לבן	veg	7291059100008	פוליצר	7290000000009	כרוב ירוק ישראלי	4.9	כרוב ירוק
cabbage-white	כרוב לבן	veg	7290000000003	סיטי מרקט	7290011725075	כרוב גוש קטיף	4.9	
cabbage-white	כרוב לבן	veg	7290058177776	סופר יודה	7290000999909	כרוב לבן	6.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290058156016	אבות אברהם בע"מ	7290011276690	כרוב לבן מהדרין שקיל	9.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290700100008	חצי חינם	7290011725075	כרוב לבן למהדרין	9.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290058148776	שוק העיר (ט.ע.מ.ס.) בע"מ	480585	כרוב לבן /אדום כשר ארוז	9.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290803800003	מ. יוחננוף ובניו	7290011725488	כרוב לבן מהדרין ק"ג	11.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290696200003	ויקטורי	7290019462453	כרוב לבן מהדרין	12.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290455000004	HET_COHEN_NEW_SOURCE	480585	כרוב לבן  ברכת קטיף	12.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290876100000	פרש מרקט	7290011108052	כרוב לבן מהדרין	12.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290058140886	רמי לוי שיווק השקמה	7290000001043	כרוב לבן קטיף טרי	12.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290661400001	מחסני השוק	5576096	כרוב לבן גלאט עלים	12.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290058289400	קי טי יבוא ושווק בע"מ	7290011108618	כרוב לבן ארוז קטיף מהדרין	13.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290058134977	שפע ברכת השם בע"מ	7290005576096	כרוב לבן שלם גלאט עלים אפרתי	13.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290027600007	שופרסל	7290011963071	כרוב לבן כשר בד"ץ	13.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290058159628	ג.מ. מעיין אלפיים (07) בע"מ	7290000001043	כרוב לבן גלאט	14.9	
cabbage-white-kosher	כרוב לבן מהדרין	veg	7290055700007	קרפור	7290005576096	כרוב לבן מהדרין  גלא	15.9	
carrot	גזר	veg	7290803800003	מ. יוחננוף ובניו	7290000000635	גזר ארוז	1.9	
carrot	גזר	veg	7290027600007	שופרסל	7290000912172	גזר ארוז	2.9	
carrot	גזר	veg	7290700100008	חצי חינם	7290000012933	מארז גזר	2.9	מארז
carrot	גזר	veg	7290526500006	Dabach	7290000000024	גזר ארוז	3.9	
carrot	גזר	veg	7290103152017	אושר עד	7290009000313	גזר	3.9	
carrot	גזר	veg	7290058140886	רמי לוי שיווק השקמה	7290000001021	גזר ארוז	3.9	
carrot	גזר	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777017	גזר ארוז	4.9	
carrot	גזר	veg	7290873255550	טיב טעם	7290018825006	גזר	4.9	
carrot	גזר	veg	7291059100008	פוליצר	7290000000003	גזר ישראלי	4.9	גזר ישראלי
carrot	גזר	veg	7290876100000	פרש מרקט	7290018825006	גזר ארוז	4.9	
carrot	גזר	veg	7290058289400	קי טי יבוא ושווק בע"מ	7290006380142	גזר	4.9	
carrot	גזר	veg	7290055700007	קרפור	7290000002210	גזר ארוז	4.9	
carrot	גזר	veg	7290696200003	ויקטורי	7290000654973	גזר ארוז	5.9	
carrot	גזר	veg	7290000000003	סיטי מרקט	7290000000206	גזר ארוז	5.9	
carrot	גזר	veg	7290661400001	מחסני השוק	7290018825006	גזר ארוז	5.9	
carrot	גזר	veg	7290492000005	Dor Alon	7290000040981	גזר ארוז	6.9	
carrot	גזר	veg	7290058177776	סופר יודה	7290000999914	גזר ארוז	9.9	
cauliflower	כרובית	veg	7290700100008	חצי חינם	7290000013237	כרובית	9.9	
cauliflower	כרובית	veg	7290058140886	רמי לוי שיווק השקמה	7290000000152	כרובית שקיל	9.9	
cauliflower	כרובית	veg	7290526500006	Dabach	7290000000006	כרובית	10.9	
cauliflower	כרובית	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777182	כרובית	10.9	
cauliflower	כרובית	veg	7290876100000	פרש מרקט	7290000999911	כרובית	11.9	
cauliflower	כרובית	veg	7290000000003	סיטי מרקט	7290017918075	כרובית ארוז	12.9	
cauliflower	כרובית	veg	7290027600007	שופרסל	7290000000176	כרובית	12.9	
cauliflower	כרובית	veg	7290873255550	טיב טעם	4412838	כרובית	14.9	
cauliflower	כרובית	veg	7290492000005	Dor Alon	7290000043920	כרובית	14.9	
cauliflower	כרובית	veg	7291059100008	פוליצר	7290000000010	כרובית ישראלי	15.9	
cauliflower	כרובית	veg	7290661400001	מחסני השוק	7290019094104	כרובית שמיטה שקיל	15.9	
cauliflower	כרובית	veg	7290803800003	מ. יוחננוף ובניו	7290011725310	כרובית מהדרין - משקל	22.9	מהדרין; their cheapest
clementine	קלמנטינה	fruit	7290000000003	סיטי מרקט	7290000000213	קלמנטינה	3.9	
clementine	קלמנטינה	fruit	7290803800003	מ. יוחננוף ובניו	7290000000754	קלמנטינה	4.9	
clementine	קלמנטינה	fruit	7290058140886	רמי לוי שיווק השקמה	7290000000287	קלמנטינה (בשקית רשת)	4.9	ברשת
clementine	קלמנטינה	fruit	7290027600007	שופרסל	7290000999180	קלמנטינה	6.9	
clementine	קלמנטינה	fruit	7290103152017	אושר עד	7290009005172	קלמנטינה	7.9	
clementine	קלמנטינה	fruit	7290058108879	אלמשהדאוי קינג סטור בע"מ	777118	קלמנטינה	7.9	
clementine	קלמנטינה	fruit	7290876100000	פרש מרקט	7290000999819	קלמנטינה/מנדרינה	7.9	
clementine	קלמנטינה	fruit	7291059100008	פוליצר	7290000000110	קלמנטינה	8.9	
clementine	קלמנטינה	fruit	7290873255550	טיב טעם	4412340	קלמנטינה	8.9	
clementine	קלמנטינה	fruit	7290492000005	Dor Alon	7290000041117	קלמנטינה איכות מעולה	11.9	
clementine	קלמנטינה	fruit	7290058177776	סופר יודה	7290000999819	קלמנטינה/מנדרינה	14.9	
corn	תירס	veg	7290103152017	אושר עד	7290009004281	תירס	6.9	
corn	תירס	veg	7290700100008	חצי חינם	7290000013756	תירס ארוז	7.9	
corn	תירס	veg	7290058140886	רמי לוי שיווק השקמה	7290000000848	תירס טרי	8.9	
corn	תירס	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777066	תירס ארוז	8.9	
corn	תירס	veg	7290803800003	מ. יוחננוף ובניו	7290011725747	תירס	8.9	
corn	תירס	veg	7290661400001	מחסני השוק	7290017593111	תירס קלחים לבן ארוז	8.9	
corn	תירס	veg	7290639000004	סטופמרקט	7290000000848	תירס צהוב טרי ארוז	8.9	
corn	תירס	veg	7290526500006	Dabach	7290000000086	תירס קלחים צהוב	9.9	
corn	תירס	veg	7290876100000	פרש מרקט	7290000999936	תירס	9.9	
corn	תירס	veg	7290027600007	שופרסל	7296073288756	מארז תירס צהוב - שקיל	9.9	
corn	תירס	veg	7290000000003	סיטי מרקט	7290017593111	תירס לבן מתוק	9.9	
corn	תירס	veg	7290058148776	שוק העיר (ט.ע.מ.ס.) בע"מ	7290017593043	תירס לבן מתוק	9.9	
corn	תירס	veg	7290455000004	HET_COHEN_NEW_SOURCE	1620458	תירס ש.	11.9	
corn	תירס	veg	7290058159628	ג.מ. מעיין אלפיים (07) בע"מ	7290000000848	תירס העמק	11.9	
corn	תירס	veg	7291059100008	פוליצר	7290000000024	תירס מקולף ישראלי	11.9	
corn	תירס	veg	7290492000005	Dor Alon	7290000041377	תירס טרי ארוז במשקל	12.9	
corn	תירס	veg	7290058156016	אבות אברהם בע"מ	7290000000848	תירס החוף ארוז	12.9	
corn	תירס	veg	7290696200003	ויקטורי	7290017593036	תירס החוף ארוז	12.9	
corn	תירס	veg	7290873255550	טיב טעם	7290000000848	תירס	16.9	
corn	תירס	veg	7290058177776	סופר יודה	7290000999936	תירס	19.9	
cucumber	מלפפון	veg	7290058140886	רמי לוי שיווק השקמה	7290000001101	מלפפון	3.9	
cucumber	מלפפון	veg	7290103152017	אושר עד	7290009000207	מלפפון	4.9	
cucumber	מלפפון	veg	7290027600007	שופרסל	7290000913216	מלפפון	4.9	
cucumber	מלפפון	veg	7290526500006	Dabach	7290000000015	מלפפון	6.9	
cucumber	מלפפון	veg	7290803800003	מ. יוחננוף ובניו	7290000000695	מלפפון	6.9	
cucumber	מלפפון	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777004	מלפפון	7.9	
cucumber	מלפפון	veg	7290700100008	חצי חינם	7290000012865	מלפפון	7.9	
cucumber	מלפפון	veg	7291059100008	פוליצר	7290000000002	מלפפון ישראלי	7.9	מלפפון ישראלי
cucumber	מלפפון	veg	7290876100000	פרש מרקט	7290000999903	מלפפון	7.9	
cucumber	מלפפון	veg	7290055700007	קרפור	7290000002600	מלפפון	7.9	
cucumber	מלפפון	veg	7290000000003	סיטי מרקט	910386	מלפפון	8.9	
cucumber	מלפפון	veg	7290058177776	סופר יודה	7290000999903	מלפפון	13.9	
cucumber-baby	מלפפון בייבי	veg	7290000000003	סיטי מרקט	7290016270570	מלפפון בייבי	9.9	
cucumber-baby	מלפפון בייבי	veg	7290055700007	קרפור	693493162319	מלפפון טרי בייבי שטו	29.9	
cucumber-baby	מלפפון בייבי	veg	7290492000005	Dor Alon	7290015983143	שדות בר מלפפון בייבי	30	
cucumber-baby	מלפפון בייבי	veg	7290639000004	סטופמרקט	7290015983143	מלפפון בייבי שדות בר	30	
cucumber-baby	מלפפון בייבי	veg	7291059100008	פוליצר	7290015983143	מלפפון בייבי שדות בר	30	
cucumber-baladi	מלפפון בלדי	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777005	מלפפון בלדי	9.9	
cucumber-baladi	מלפפון בלדי	veg	7290526500006	Dabach	7290000000235	מלפפון בלדי	11.9	
eggplant	חציל	veg	7290803800003	מ. יוחננוף ובניו	7290000000661	חציל	4.9	
eggplant	חציל	veg	7290103152017	אושר עד	7290009001419	חציל	6.9	
eggplant	חציל	veg	7290700100008	חצי חינם	7290000012971	חציל	6.9	
eggplant	חציל	veg	7290058140886	רמי לוי שיווק השקמה	7290000000106	חציל	6.9	
eggplant	חציל	veg	7290873255550	טיב טעם	4412869	חצילים	7.9	
eggplant	חציל	veg	7290055700007	קרפור	7290000002350	חציל	7.9	
eggplant	חציל	veg	7290027600007	שופרסל	7290000000114	חציל	7.9	
eggplant	חציל	veg	7291059100008	פוליצר	7290000000004	חצילים ישראלי	8.9	
eggplant	חציל	veg	7290876100000	פרש מרקט	7290000999913	חציל	8.9	
eggplant	חציל	veg	7290526500006	Dabach	7290000000019	חציל חממה	8.9	חממה
eggplant	חציל	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777023	חציל חממה	9.9	חממה
eggplant	חציל	veg	7290492000005	Dor Alon	7290000040653	חצילים	12.9	
eggplant	חציל	veg	7290058177776	סופר יודה	7290000999913	חציל	15.9	
eggplant-baladi	חציל בלדי	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777024	חציל בלדי	5.9	
eggplant-baladi	חציל בלדי	veg	7290803800003	מ. יוחננוף ובניו	7290000000665	חציל בלאדי	5.9	
eggplant-baladi	חציל בלדי	veg	7290103152017	אושר עד	7290009001433	חציל בלאדי	6.9	
eggplant-baladi	חציל בלדי	veg	7290058140886	רמי לוי שיווק השקמה	7290000000244	חצילים בלדי	6.9	
eggplant-baladi	חציל בלדי	veg	7290526500006	Dabach	7290000000234	חציל בלדי	7.9	
eggplant-baladi	חציל בלדי	veg	7290027600007	שופרסל	7290000962474	חציל בלדי	7.9	
eggplant-baladi	חציל בלדי	veg	7290700100008	חצי חינם	7290000013053	חציל בלדי	7.9	
eggplant-baladi	חציל בלדי	veg	7290876100000	פרש מרקט	7290000999390	חציל בלאדי	8.9	
eggplant-baladi	חציל בלדי	veg	7290873255550	טיב טעם	4418021	חציל בלאדי	9.9	
eggplant-baladi	חציל בלדי	veg	7291059100008	פוליצר	7290000000161	חציל בלאדי ישראלי	9.9	
eggplant-baladi	חציל בלדי	veg	7290000000003	סיטי מרקט	45784578	חציל בלאדי	12.9	
eggplant-baladi	חציל בלדי	veg	7290058177776	סופר יודה	7290000999390	חציל בלאדי	14.9	
eggplant-baladi	חציל בלדי	veg	7290492000005	Dor Alon	7290000046174	חציל בלאדי	14.9	
fennel	שומר	veg	7290803800003	מ. יוחננוף ובניו	7290000000775	שומר	5.9	
fennel	שומר	veg	7290700100008	חצי חינם	7290000013428	שומר	7.9	
fennel	שומר	veg	7290526500006	Dabach	7290000000049	שומר	8.9	
fennel	שומר	veg	7290103152017	אושר עד	7290009003079	שומר	8.9	
fennel	שומר	veg	7290876100000	פרש מרקט	7290000999961	שומר	8.9	
